1614476700000,46282.46000000,46529.33000000,46226.70000000,46442.50000000,432.67074700,1614477599999,20083526.38743961,10712,250.11127400,11611025.76889502,0
1614477600000,46439.20000000,46518.68000000,46135.59000000,46181.35000000,463.14517500,1614478499999,21459851.94866379,12373,189.72787000,8794107.92016477,0
1614478500000,46181.35000000,46225.06000000,45694.38000000,45845.70000000,840.85300800,1614479399999,38611160.60535883,21275,378.08653600,17365840.74414079,0
1614479400000,45845.70000000,45981.79000000,45500.00000000,45511.99000000,646.61963300,1614480299999,29574076.62687696,16754,294.48365600,13474146.56220241,0
1614480300000,45512.00000000,45643.00000000,45220.28000000,45397.23000000,893.85625800,1614481199999,40608784.07031677,20899,433.58880900,19697732.93369931,0
1614481200000,45397.97000000,45561.10000000,45113.00000000,45449.53000000,992.28793900,1614482099999,44989844.04837172,21409,497.62903600,22565746.62807417,0
1614482100000,45449.53000000,45684.56000000,45212.00000000,45388.83000000,763.68729700,1614482999999,34709251.46424641,17855,365.56602400,16615245.68834431,0
1614483000000,45389.16000000,45511.42000000,44555.00000000,44673.14000000,1955.88366300,1614483899999,87904822.94333699,36362,781.78987900,35137605.33740283,0
1614483900000,44673.14000000,45110.00000000,44444.00000000,44629.17000000,1697.45618400,1614484799999,75961833.81434339,31487,814.11231400,36446844.43949887,0
1614484800000,44632.70000000,44868.15000000,44267.48000000,44597.39000000,1488.56809100,1614485699999,66350495.23371229,30035,726.94460100,32416762.41596841,0
1614485700000,44597.39000000,44936.18000000,44501.00000000,44644.48000000,853.54435300,1614486599999,38212286.95481110,18359,436.13792500,19526533.99943027,0
1614486600000,44650.40000000,45100.00000000,44624.79000000,44823.05000000,659.86287500,1614487499999,29627560.72946552,16040,345.37034500,15506904.52924363,0
1614487500000,44823.05000000,44912.90000000,44322.00000000,44384.14000000,742.74658900,1614488399999,33182574.64572497,16732,355.72368100,15894347.06153055,0
1614488400000,44384.38000000,44967.25000000,44200.00000000,44875.61000000,1084.32428500,1614489299999,48310209.02525692,24111,475.36793000,21217744.37627940,0
